,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
376,Abalak,91,RU,1596664967,96,58.13,68.59,61.9,6.13
377,Ajdabiya,0,LY,1596664968,25,30.76,20.23,86.59,10.92
378,Verkh-Usugli,100,RU,1596664969,98,52.7,115.17,56.19,1.79
379,Krasnyy Chikoy,76,RU,1596664970,89,50.36,108.75,57.6,2.39
380,Amga,67,RU,1596664971,61,60.9,131.96,63.5,0.72
381,Kumul,3,CN,1596664973,24,42.8,93.45,80.89,10.47
382,Necochea,74,AR,1596664974,98,-38.55,-58.74,55.99,3.0
383,Kormilovka,0,RU,1596664975,67,55.0,74.1,60.8,2.24
384,Kavaratti,95,IN,1596664976,79,10.57,72.64,82.71,31.36
385,Hofn,100,IS,1596664978,87,64.25,-15.21,52.34,2.19
386,Toropets,3,RU,1596664979,95,56.5,31.64,58.12,4.88
387,Samaná,20,DO,1596664849,74,19.21,-69.34,87.8,6.93
388,Sozimskiy,31,RU,1596664981,91,59.74,52.25,53.94,2.77
389,Río Cuarto,0,AR,1596664982,49,-33.13,-64.35,69.8,17.22
390,Angoche,0,MZ,1596664984,81,-16.23,39.91,71.22,6.29
391,Mayumba,2,GA,1596664985,85,-3.43,10.66,71.73,5.08
392,Goderich,50,CA,1596664986,62,43.75,-81.72,69.01,4.94
393,Matara,81,LK,1596664987,89,5.95,80.54,77.29,8.23
394,Kultuk,100,RU,1596664989,86,51.72,103.7,56.37,0.69
395,Vredendal,0,ZA,1596664990,65,-31.67,18.5,46.83,11.3
396,Goundam,84,ML,1596664991,66,16.41,-3.67,85.33,10.51
397,Washington,0,US,1596664873,20,47.5,-120.5,95.0,3.0
398,Qian’an,0,CN,1596664993,83,44.99,124.06,68.92,9.53
399,Tegul'det,22,RU,1596664994,76,57.31,88.17,57.25,4.54
400,Thompson,40,CA,1596664715,35,55.74,-97.86,84.2,10.29
401,Lukulu,0,ZM,1596664997,32,-14.37,23.24,59.9,2.55
402,Winslow,1,US,1596664998,10,35.02,-110.7,98.6,21.92
403,Córdoba,1,AR,1596664744,41,-31.41,-64.18,77.0,21.92
404,Polunochnoye,33,RU,1596665001,79,60.87,60.42,51.76,1.48
405,Qaqortoq,20,GL,1596665002,62,60.72,-46.03,55.4,6.93
406,Hokitika,85,NZ,1596665003,80,-42.72,170.97,53.8,6.71
407,Sarandi,0,BR,1596665004,47,-23.44,-51.87,73.99,6.49
408,Pisco,20,PE,1596665006,72,-13.7,-76.22,64.4,10.29
409,Constitución,41,CL,1596664911,69,-35.33,-72.42,52.05,11.54
410,Aleksandriya,1,RU,1596665008,62,45.09,43.25,68.81,5.99
411,Howard Springs,20,AU,1596665010,100,-12.5,131.05,71.6,3.36
412,Saint-Augustin,85,CA,1596665011,55,51.23,-58.65,64.45,11.16
413,Salinópolis,0,BR,1596665013,81,-0.61,-47.36,80.08,13.44
414,Synya,98,RU,1596665015,86,65.37,58.04,60.93,9.24
415,Obo,100,CF,1596665016,97,5.4,26.49,68.02,3.42
416,Betsiamites,1,CA,1596664841,72,48.94,-68.65,80.6,26.4
417,Omsukchan,36,RU,1596665019,51,62.53,155.8,55.76,3.53
418,Laguna,1,US,1596665020,47,38.42,-121.42,81.0,12.75
419,Sovetskaya Gavan',100,RU,1596665022,95,48.97,140.29,54.3,3.2
420,Broken Hill,90,AU,1596665023,36,-31.95,141.43,44.6,12.75
421,Bangassou,100,CF,1596665024,94,4.74,22.82,69.19,2.19
422,Bar Harbor,1,US,1596665026,83,44.39,-68.2,77.0,12.75
423,Toora-Khem,100,RU,1596665027,91,52.47,96.11,54.52,3.44
424,Pergamino,0,AR,1596665028,52,-33.89,-60.57,75.99,1.99
425,West Fargo,90,US,1596665029,69,46.88,-96.9,77.0,11.41
426,Kovūr,100,IN,1596665030,72,14.48,79.98,80.29,8.12
427,Srednekolymsk,33,RU,1596665032,41,67.45,153.68,64.08,11.7
428,Ocós,40,GT,1596665033,70,14.51,-92.19,91.4,8.05
429,The Valley,40,AI,1596665034,69,18.22,-63.06,84.0,13.87
430,Byron Bay,0,AU,1596665036,87,-28.65,153.62,54.0,5.82
431,Kitimat,100,CA,1596665037,90,54.05,-128.65,61.0,3.36
432,Vuktyl,53,RU,1596665038,83,63.86,57.31,60.51,7.92
433,Pacasmayo,7,PE,1596665040,74,-7.4,-79.57,63.93,16.84
434,Pangnirtung,90,CA,1596665042,100,66.15,-65.71,46.4,8.05
435,Alexandria,0,EG,1596664992,72,31.22,29.96,79.95,11.36
436,Arlit,55,NE,1596665044,24,18.74,7.39,99.05,14.23
437,Miyako,92,JP,1596665046,72,39.64,141.95,77.09,2.04
438,Kalāleh,20,IR,1596665047,78,37.38,55.49,73.4,4.7
439,Saint-François,0,FR,1596665048,51,46.42,3.91,63.0,1.12
440,Onega,48,RU,1596665049,95,63.91,38.14,56.95,7.34
441,Karacabey,0,TR,1596665051,73,40.22,28.4,75.2,14.99
442,Vytegra,29,RU,1596665052,94,61.01,36.45,57.67,6.13
443,Manaure,100,CO,1596665053,54,11.78,-72.44,90.21,16.15
444,Gravdal,0,NO,1596665054,81,68.12,13.5,53.6,7.67
445,Llanes,31,ES,1596665055,87,43.42,-4.75,68.0,3.69
446,Ulladulla,0,AU,1596664850,70,-35.35,150.47,42.8,13.87
447,Baruun-Urt,16,MN,1596665058,72,46.68,113.28,61.92,1.05
448,Khandyga,0,RU,1596665059,45,62.67,135.6,64.04,1.83
449,Meulaboh,100,ID,1596665060,88,4.14,96.13,77.23,4.18
450,Berriozábal,75,MX,1596665062,46,16.8,-93.27,91.4,8.05
451,Cabatuan,100,PH,1596665063,90,10.88,122.49,76.24,4.9
452,Yining,100,CN,1596665064,89,29.04,114.56,76.17,2.75
453,Caravelas,22,BR,1596665065,74,-17.71,-39.25,70.03,9.44
454,Taunggyi,100,MM,1596665067,100,20.78,97.03,65.35,1.12
455,Bengkulu,95,ID,1596665068,81,-3.8,102.27,75.96,4.43
456,Beringovskiy,100,RU,1596665070,65,63.05,179.32,49.23,15.73
457,Evensk,82,RU,1596665071,54,61.95,159.23,60.71,6.8
458,Eston,5,CA,1596665072,23,51.15,-108.75,86.0,8.05
459,Cascas,0,PE,1596665073,41,-7.48,-78.82,71.47,4.9
460,Bandarbeyla,100,SO,1596665075,69,9.49,50.81,79.29,32.08
461,San Rafael,0,AR,1596665076,41,-34.62,-68.33,60.78,7.58
462,Erenhot,2,CN,1596665078,49,43.65,111.98,71.51,14.74
463,Cayenne,62,GF,1596665079,94,4.93,-52.33,78.8,2.24
464,Hoi An,40,VN,1596665080,94,15.88,108.33,77.0,4.7
465,Sirte,0,LY,1596665082,70,31.21,16.59,81.72,10.33
466,Belaya Gora,0,RU,1596665083,39,68.53,146.42,65.8,10.47
467,Nishifukuma,40,JP,1596665084,83,33.77,130.47,82.99,20.8
468,Valdivia,75,CL,1596664882,76,-39.81,-73.25,50.0,4.7
469,Amoy,20,CN,1596665088,88,24.48,118.08,78.8,4.47
470,Lesnoy,95,RU,1596665089,94,57.62,63.08,60.24,5.68
471,Rawson,43,AR,1596665091,42,-43.3,-65.1,53.58,30.24
472,Ulaangom,60,MN,1596665092,68,49.98,92.07,57.47,3.04
473,Weymouth,40,US,1596664836,38,42.22,-70.94,90.0,19.46
474,Saint Anthony,75,US,1596665094,50,45.02,-93.22,78.01,8.05
475,Kampot,75,KH,1596665096,88,10.62,104.18,75.2,4.7
476,Aitape,99,PG,1596665097,85,-3.14,142.35,78.64,4.03
477,Sorong,100,ID,1596664953,85,-0.88,131.25,79.05,6.02
478,Libreville,20,GA,1596664983,83,0.39,9.45,78.8,8.05
479,Armidale,0,AU,1596665100,63,-30.52,151.65,38.17,1.28
480,Wagar,41,SD,1596665102,76,16.15,36.2,75.58,12.95
481,Krasnosel'kup,0,RU,1596665103,79,65.7,82.47,53.56,8.7
482,Eureka,99,US,1596665104,100,40.8,-124.16,64.0,8.63
483,Tarabuco,0,BO,1596665105,48,-19.17,-64.92,55.81,5.84
484,Juba,46,SS,1596665048,94,4.85,31.58,68.81,1.57
485,Pinheiro,0,BR,1596665108,65,-2.52,-45.08,76.66,1.9
486,Smalininkai,22,LT,1596665109,84,55.07,22.58,52.86,0.63
487,Santa Isabel Rio Negro,40,BR,1596665110,84,-0.41,-65.02,79.83,1.3
488,Torbay,20,CA,1596665111,55,47.67,-52.73,66.2,14.99
489,Okha,100,RU,1596665112,85,53.57,142.95,56.82,8.95
490,Gao,16,ML,1596665114,48,16.64,1.64,90.52,7.92
491,Severnoye,0,RU,1596665115,75,56.35,78.36,59.47,4.21
492,Takoradze,59,GH,1596665116,81,4.88,-1.76,73.44,11.7
493,Nyanguge,3,TZ,1596665117,82,-2.55,33.2,66.2,6.93
494,Lerwick,97,GB,1596665119,100,60.15,-1.15,55.4,5.82
495,Nyurba,0,RU,1596665120,71,63.28,118.33,59.85,3.13
496,Vitim,75,RU,1596665122,82,59.45,112.56,61.48,2.93
497,Yatou,98,CN,1596665123,96,37.15,122.38,73.54,11.18
498,Derbent,0,RU,1596665124,52,42.07,48.29,73.47,3.78
499,Tambura,95,SS,1596665126,97,5.6,27.47,68.05,3.31
500,Mongo,100,TD,1596665127,89,12.18,18.69,72.99,6.11
501,Sur,22,OM,1596665129,55,22.57,59.53,89.01,4.88
502,Eyl,44,SO,1596665130,65,7.98,49.82,79.5,27.31
503,Bhuban,97,IN,1596665132,86,20.88,85.83,79.09,2.35
504,Pingyi,100,CN,1596665133,91,35.5,117.63,76.96,2.53
505,Kharar,87,IN,1596665134,64,30.74,76.65,85.77,4.9
506,Newport,100,GB,1596665129,97,51.59,-3.0,64.99,1.01
507,Catió,90,GW,1596665136,83,11.28,-15.25,77.47,9.01
508,Fray Bentos,45,UY,1596665138,62,-33.13,-58.3,73.99,4.0
509,Porto Velho,40,BR,1596665139,32,-8.76,-63.9,93.2,4.7
510,Palu,78,ID,1596665140,79,-0.89,119.87,74.97,2.8
511,Logan,1,US,1596665108,13,41.74,-111.83,98.6,8.05
512,Hobyo,32,SO,1596665143,77,5.35,48.53,76.95,24.83
513,Dolores,73,AR,1596665144,75,-36.31,-57.68,66.67,4.9
514,Maragogi,54,BR,1596665145,77,-9.01,-35.22,73.71,14.32
515,Tezu,24,IN,1596665146,81,27.92,96.17,77.7,4.54
516,Muros,0,ES,1596665148,77,42.78,-9.06,68.0,5.99
517,Sisimiut,36,GL,1596665149,68,66.94,-53.67,48.52,5.66
518,Manzhouli,0,CN,1596665150,90,49.6,117.43,60.24,2.73
519,Ruteng,52,ID,1596665151,95,-8.61,120.47,58.17,1.63
520,Skibbereen,40,IE,1596665152,82,51.55,-9.27,62.6,3.36
521,Greenville,1,US,1596665143,66,35.61,-77.37,86.0,4.7
522,Antalaha,42,MG,1596665155,83,-14.9,50.28,65.39,6.93
523,Marquard,0,ZA,1596665156,46,-28.66,27.43,47.03,8.52
524,Vao,0,NC,1596665157,65,-22.67,167.48,69.48,6.04
525,Inírida,3,CO,1596665158,72,3.87,-67.92,82.18,1.32
526,Provideniya,75,RU,1596665160,71,64.38,-173.3,51.8,8.95
527,Lermontovka,100,RU,1596665161,95,47.15,134.34,60.15,4.83
528,Gondanglegi,99,ID,1596665162,84,-7.75,112.01,72.91,12.21
529,Kemijärvi,34,FI,1596665163,84,66.71,27.43,52.7,7.31
530,Richards Bay,28,ZA,1596665165,89,-28.78,32.04,61.75,7.87
531,Strezhevoy,99,RU,1596665166,100,60.73,77.59,62.6,4.47
532,El Seibo,40,DO,1596665167,66,18.76,-69.04,87.8,6.93
533,Selizharovo,78,RU,1596665168,96,56.85,33.45,60.57,3.36
534,Douentza,7,ML,1596665169,70,15.0,-2.95,81.66,6.44
535,Kutum,100,SD,1596665171,87,14.2,24.67,69.53,5.06
536,Piterka,0,RU,1596665172,74,50.68,47.45,73.17,11.48
537,Turukhansk,100,RU,1596665173,68,65.82,87.98,59.63,9.06
538,Paidha,40,UG,1596665175,93,2.42,30.99,60.22,4.09
539,Ráckeresztúr,100,HU,1596665176,80,47.27,18.83,71.01,3.0
540,Oranjestad,20,AW,1596665125,66,12.52,-70.03,87.8,24.16
541,Petropavlovsk-Kamchatskiy,90,RU,1596665178,100,53.05,158.65,51.8,2.24
542,Okhotsk,0,RU,1596665180,69,59.38,143.3,60.08,3.49
543,Tiarei,40,PF,1596665181,65,-17.53,-149.33,82.4,5.82
544,Mackay,72,AU,1596665182,100,-21.15,149.2,62.01,4.7
545,Bhag,0,PK,1596665183,30,29.04,67.82,100.58,5.82
546,Eydhafushi,95,MV,1596665185,80,5.1,73.07,82.42,19.8
547,Lima,40,PE,1596665186,68,-12.04,-77.03,64.4,9.17
548,Cabedelo,40,BR,1596665187,73,-6.98,-34.83,75.2,8.05
549,Grand Gaube,20,MU,1596665188,64,-20.01,57.66,68.0,9.17
550,Aktobe,62,KZ,1596665189,41,50.28,57.21,75.2,8.95
551,Katherine,56,AU,1596665191,82,-14.47,132.27,68.0,5.82
552,Hamada,38,JP,1596665192,35,34.88,132.08,79.0,6.04
553,Mahajanga,0,MG,1596665193,74,-15.72,46.32,70.18,4.97
554,Cherëmukhovo,36,RU,1596665194,82,60.35,59.99,51.12,1.59
555,Tromsø,0,NO,1596665195,81,69.65,18.96,53.6,8.05
556,Tucupita,100,VE,1596665197,93,9.06,-62.05,78.1,3.83
557,Quatre Cocos,20,MU,1596665198,64,-20.21,57.76,68.0,9.17
558,Kyshtovka,0,RU,1596665199,69,56.55,76.63,61.27,3.94
559,Morgan City,40,US,1596665200,74,29.7,-91.21,91.99,11.41
560,Damietta,0,EG,1596665201,79,31.42,31.81,77.49,7.87
561,Ceres,1,US,1596665203,37,37.59,-120.96,95.0,10.29
562,Kiama,0,AU,1596665204,60,-34.68,150.87,48.0,8.01
563,Poum,0,NC,1596665205,71,-20.23,164.02,69.91,6.96
564,Souillac,20,MU,1596665207,64,-20.52,57.52,68.0,9.17
565,Shache,92,CN,1596665208,29,38.42,77.24,76.23,7.05
566,Henties Bay,0,NA,1596665209,78,-22.12,14.28,52.0,14.9
567,Vila Franca do Campo,40,PT,1596665211,83,37.72,-25.43,71.6,9.17
568,Clarksdale,4,US,1596665212,45,34.2,-90.57,84.0,9.22
569,Palora,75,EC,1596665213,73,-1.7,-77.93,75.2,4.7
570,Wajima,67,JP,1596665214,77,37.4,136.9,79.02,3.74
571,Dzilam González,23,MX,1596665216,71,21.28,-88.93,86.34,9.33
572,Ust'-Ishim,60,RU,1596665217,96,57.69,71.17,65.39,5.88
573,Purranque,100,CL,1596665218,75,-40.92,-73.17,46.4,2.57
574,Santa Eulalia,40,PE,1596665219,68,-11.85,-76.68,64.4,9.17
575,Bereket,36,TM,1596665221,36,39.24,55.52,77.52,2.37
576,Aktau,40,KZ,1596665222,93,43.65,51.2,64.4,4.47
577,Cabo San Lucas,5,MX,1596665224,46,22.89,-109.91,91.4,11.41
578,San Buenaventura,40,MX,1596665226,34,27.08,-101.53,98.01,10.76
579,Buala,64,SB,1596665227,78,-8.14,159.59,83.08,10.85
